name,badge,index_show,view,rating,like,series_follow,url
咒术回战 第二季,会员专享,更新至第4话,36852596,9.3分,12338126,12814624,https://www.bilibili.com/bangumi/play/ss45574
布莱泽奥特曼,会员抢先,更新至第11话,37627348,9.8分,496862,2054696,https://www.bilibili.com/bangumi/play/ss45510
假面骑士 极狐,会员抢先,更新至第35话,45488542,7.6分,438354,462817,https://www.bilibili.com/bangumi/play/ss44776
主宰七魔剑,独家,更新至第11话,10626054,7.8分,348056,348056,https://www.bilibili.com/bangumi/play/ss45485
我的幸福婚姻,独家,更新至第6话,6729963,8.9分,330361,330362,https://www.bilibili.com/bangumi/play/ss45492
名侦探柯南,会员专享,更新至第1155话,969640956,9.8分,4697196,7074022,https://www.bilibili.com/bangumi/play/ss33378
文豪野犬 第五季,独家,更新至第6话,6740748,7.9分,3905822,4049249,https://www.bilibili.com/bangumi/play/ss45487
咒术回战,会员专享,全24话,827473991,9.7分,12187599,12814624,https://www.bilibili.com/bangumi/play/ss34430
鬼灭之刃 游郭篇 中配版,独家,全11话,2081597,9.2分,7666365,16373292,https://www.bilibili.com/bangumi/play/ss45624
尼尔：自动人形,独家,更新至第6话,8367618,9.6分,359569,359567,https://www.bilibili.com/bangumi/play/ss44220
勇者赫鲁库,独家,更新至第10话,11544723,9.3分,321597,321596,https://www.bilibili.com/bangumi/play/ss45486
白圣女与黑牧师,独家,更新至第6话,10419945,9.8分,621305,621305,https://www.bilibili.com/bangumi/play/ss45504
浪客剑心 -明治剑客浪漫谭-（新作） ,独家,更新至第7话,3248015,9.5分,1039595,1103151,https://www.bilibili.com/bangumi/play/ss45503
齐木楠雄的灾难（日播&精选版）,会员专享,全120话,282006053,9.7分,2051762,5542018,https://www.bilibili.com/bangumi/play/ss5070
鬼灭之刃 刀匠村篇,独家,全13话,174583292,9.2分,15644895,16373292,https://www.bilibili.com/bangumi/play/ss44860
暴太郎战队咚兄弟,会员抢先,更新至第39话,8151269,9.8分,103928,106886,https://www.bilibili.com/bangumi/play/ss45641
公司的小小前辈,独家,更新至第10话,3260064,8.9分,147860,147860,https://www.bilibili.com/bangumi/play/ss45489
布莱泽奥特曼（中配）,会员抢先,更新至第11话,9664608,9.6分,30665,2054696,https://www.bilibili.com/bangumi/play/ss45511
键等学园/键等 第二季,独家,更新至第13话,44838,,358384,363147,https://www.bilibili.com/bangumi/play/ss45738
博人传 火影忍者新时代,会员专享,全293话,373489071,4.5分,2246743,2246743,https://www.bilibili.com/bangumi/play/ss5978
打工吧！魔王大人 第二季,会员抢先,更新至第22话,32143305,7.5分,2963752,3260740,https://www.bilibili.com/bangumi/play/ss42107
总之就是非常可爱 第二季,限时免费,全16话,29797057,9.5分,5558817,5747194,https://www.bilibili.com/bangumi/play/ss45305
弦音 -连结的一射-,独家,全13话,6217918,9.7分,1316792,1406663,https://www.bilibili.com/bangumi/play/ss44088
莱莎的炼金工房～常暗女王与秘密藏身处～,独家,更新至第6话,2541815,9.4分,205694,205694,https://www.bilibili.com/bangumi/play/ss45502
赛马娘 巅峰之路,会员抢先,全4话,2584821,9.8分,2518152,2647181,https://www.bilibili.com/bangumi/play/ss45638
魔法师的爱徒 / 魔法使的新娘 第二季,独家,更新至第10话,1951968,9.7分,103812,103812,https://www.bilibili.com/bangumi/play/ss45455
物之古物奇谭,独家,全24话,26237070,9.1分,631100,631100,https://www.bilibili.com/bangumi/play/ss44083
名侦探柯南（中配）,会员专享,更新至第1155话,1100328379,9.8分,1895899,7074022,https://www.bilibili.com/bangumi/play/ss33415
火影忍者 疾风传,会员专享,全57话,223927824,9.6分,2134009,2224579,https://www.bilibili.com/bangumi/play/ss3287
间谍过家家,会员专享,全25话,728009023,9.7分,12091759,12261950,https://www.bilibili.com/bangumi/play/ss41410
蓝色监狱,会员专享,全24话,58700481,9.6分,1048594,1048594,https://www.bilibili.com/bangumi/play/ss43145
齐木楠雄的灾难,会员专享,全24话,184564570,9.7分,3336427,5542018,https://www.bilibili.com/bangumi/play/ss5069
孤独摇滚！,独家,全12话,120924329,9.9分,3137254,3137252,https://www.bilibili.com/bangumi/play/ss43164
物理魔法使-马修-,独家,全12话,82812065,8.6分,1337081,1337082,https://www.bilibili.com/bangumi/play/ss44861
祭品公主与兽之王,独家,更新至第22话,10274504,9.1分,381919,381919,https://www.bilibili.com/bangumi/play/ss44869
鬼灭之刃,独家,全26话,986149805,9.7分,12639103,16373292,https://www.bilibili.com/bangumi/play/ss26801
格莱普尼尔,出品,全13话,67689401,8.9分,2107537,2107537,https://www.bilibili.com/bangumi/play/ss32956
JOJO的奇妙冒险 黄金之风,独家,全39话,537053364,9.8分,5141995,9348694,https://www.bilibili.com/bangumi/play/ss25681
堀与宫村,独家,全13话,271313177,9.8分,7829373,8098758,https://www.bilibili.com/bangumi/play/ss36198
假面骑士创骑,会员专享,全49话,14701258,9.2分,473404,498740,https://www.bilibili.com/bangumi/play/ss45644
赛马娘,独家,全13话,66661647,9.8分,1965633,2647181,https://www.bilibili.com/bangumi/play/ss23834
笨女孩,独家,全12话,129758363,9.3分,3768590,3768590,https://www.bilibili.com/bangumi/play/ss6311
齐木楠雄的灾难 第二季,会员专享,全24话,153205504,9.8分,2565413,5542018,https://www.bilibili.com/bangumi/play/ss21469
某科学的超电磁炮T,独家,全25话,230532053,9.8分,6521819,8385326,https://www.bilibili.com/bangumi/play/ss29325
黑色四叶草,会员专享,全170话,397431341,9.5分,3119240,3155943,https://www.bilibili.com/bangumi/play/ss6422
砂糖苹果童话故事 银砂糖师与黑妖精,独家,更新至第10话,2904804,7.9分,279568,279568,https://www.bilibili.com/bangumi/play/ss44153
超常技能开启奇幻世界美食之旅,会员专享,全12话,33331871,9.6分,564600,564600,https://www.bilibili.com/bangumi/play/ss44830
鬼灭之刃 游郭篇,独家,全11话,274415768,9.7分,14095103,16373292,https://www.bilibili.com/bangumi/play/ss39433
小林家的龙女仆,独家,全14话,349043669,9.7分,8254013,9954161,https://www.bilibili.com/bangumi/play/ss5800
JOJO的奇妙冒险 石之海,独家,全38话,287384238,9.8分,7913515,9348694,https://www.bilibili.com/bangumi/play/ss39431
