name,badge,desc,view,rating,like,series_follow,url
镇魂街 第三季,出品,更新至第9话,95982585,9.5分,9406163,9863249,https://www.bilibili.com/bangumi/play/ss43547
永生,出品,全24话,203377176,7.0分,2859452,2897219,https://www.bilibili.com/bangumi/play/ss35213
时光代理人 第1-2季,出品,更新至Ⅱ-11,453993607,9.8分,8551446,8686853,https://www.bilibili.com/bangumi/play/ss35220
凡人修仙传,出品,全76话,1663423339,9.7分,7679995,7679992,https://www.bilibili.com/bangumi/play/ss28747
第一序列,出品,更新至第10话,64566597,9.3分,1282263,1282256,https://www.bilibili.com/bangumi/play/ss39659
雾山五行,出品,全7话,331302078,9.9分,8215983,8283878,https://www.bilibili.com/bangumi/play/ss33323
一人之下 第二季,会员专享,全24话,448488906,9.5分,4778850,6904215,https://www.bilibili.com/bangumi/play/ss6402
伍六七之暗影宿命,会员专享,全10话,490590776,9.2分,12506220,12915369,https://www.bilibili.com/bangumi/play/ss44176
非人哉,会员专享,全96话,671879299,9.8分,4476083,4476085,https://www.bilibili.com/bangumi/play/ss24298
有兽焉,出品,全24话,73965961,9.7分,889131,889129,https://www.bilibili.com/bangumi/play/ss39947
狐妖小红娘,会员专享,更新至南国总集篇（五）,840776358,9.5分,6831672,6934372,https://www.bilibili.com/bangumi/play/ss2543
镇魂街 第二季,出品,全10话,378641790,7.4分,8398492,9863249,https://www.bilibili.com/bangumi/play/ss5626
一人之下,会员专享,全12话,222138706,9.3分,4442760,6904215,https://www.bilibili.com/bangumi/play/ss5050
镇魂街 第一季,,全24话,589035106,9.1分,4570414,9863249,https://www.bilibili.com/bangumi/play/ss3863
火凤燎原,出品,全16话,85885830,9.6分,1367822,1367823,https://www.bilibili.com/bangumi/play/ss28751
仙王的日常生活 第三季,出品,全12话,296668483,7.8分,8457166,10151658,https://www.bilibili.com/bangumi/play/ss39696
天官赐福,出品,全12话,541709058,8.9分,8307083,9057408,https://www.bilibili.com/bangumi/play/ss28763
区区不才，在下野怪,出品,更新至第24话,24810711,7.7分,365408,365407,https://www.bilibili.com/bangumi/play/ss43373
灵笼,出品,全16话,593229385,9.6分,8967347,8967346,https://www.bilibili.com/bangumi/play/ss22088
0号宿舍,,全14话,49299598,9.8分,752207,752206,https://www.bilibili.com/bangumi/play/ss25618
王者？别闹！,,更新至第57话,723785921,9.2分,2822541,2822540,https://www.bilibili.com/bangumi/play/ss26015
三体,出品,全15话,600512884,8.2分,6921532,6935386,https://www.bilibili.com/bangumi/play/ss26257
元龙,出品,全16话,436088054,8.9分,4511115,7185508,https://www.bilibili.com/bangumi/play/ss26266
獭獭突然想到,独家,全24话,174085532,9.8分,836440,922086,https://www.bilibili.com/bangumi/play/ss33725
山海际会,出品,更新至第25话,21094103,8.8分,286933,286933,https://www.bilibili.com/bangumi/play/ss43358
那年那兔那些事儿 第一季,,全12话,205946848,9.7分,2962356,4731018,https://www.bilibili.com/bangumi/play/ss1689
仙王的日常生活,出品,全15话,594664551,4.7分,6866776,10151658,https://www.bilibili.com/bangumi/play/ss26194
无限世界,出品,全16话,80481865,8.1分,1011981,1011981,https://www.bilibili.com/bangumi/play/ss39664
风灵玉秀,出品,更新至Ⅱ-12,109524130,9.8分,3048337,3101998,https://www.bilibili.com/bangumi/play/ss6038
京剧猫,,全60话,90641118,9.8分,705168,1150026,https://www.bilibili.com/bangumi/play/ss5885
中国奇谭,出品,全8话,287480443,9.9分,5750342,5750341,https://www.bilibili.com/bangumi/play/ss39707
罗小黑战记,独家,更新至第40话,583107116,9.9分,7151749,7688290,https://www.bilibili.com/bangumi/play/ss1733
霸王龙雷奇,出品,更新至第28话,3831441,,2874,2874,https://www.bilibili.com/bangumi/play/ss45357
赘婿,出品,全12话,70372286,8.6分,987995,987995,https://www.bilibili.com/bangumi/play/ss39708
长剑风云 第二季,出品,全10话,16028957,9.3分,832244,885189,https://www.bilibili.com/bangumi/play/ss39699
元龙 第三季,出品,全16话,141618499,6.8分,6210198,7185508,https://www.bilibili.com/bangumi/play/ss39706
猫之茗,出品,更新至第23话,161630842,9.7分,2456748,2456748,https://www.bilibili.com/bangumi/play/ss28758
爱上她的理由,出品,全22话,50669693,8.6分,842543,842542,https://www.bilibili.com/bangumi/play/ss43343
聪明的顺溜 第二季,,全52话,18958192,9.4分,46898,70196,https://www.bilibili.com/bangumi/play/ss32379
喜羊羊与灰太狼之羊村守护者,,全60话,104318704,9.8分,846937,1653823,https://www.bilibili.com/bangumi/play/ss32544
君有云,出品,全24话,136323105,9.1分,1214731,1214730,https://www.bilibili.com/bangumi/play/ss39688
那年那兔那些事儿 第三季,,全12话,130860304,9.6分,1230346,4731018,https://www.bilibili.com/bangumi/play/ss5559
不白吃话山海经,出品,全41话,93478200,9.3分,1096070,1944961,https://www.bilibili.com/bangumi/play/ss39457
元龙 第二季,出品,全16话,279701033,6.6分,6042584,7185508,https://www.bilibili.com/bangumi/play/ss35202
那年那兔那些事儿 第二季,,全12话,151442121,9.6分,1406791,4731018,https://www.bilibili.com/bangumi/play/ss2967
京剧猫 第三季,,全52话,83522409,9.8分,369923,1150026,https://www.bilibili.com/bangumi/play/ss25346
是王者啊？,会员抢先,更新至Ⅱ-9,42772637,9.1分,465637,465637,https://www.bilibili.com/bangumi/play/ss41366
靠你啦！战神系统,出品,全16话,91848098,9.5分,1454831,1454831,https://www.bilibili.com/bangumi/play/ss39695
仙王的日常生活 第二季,出品,全12话,346822466,6.8分,8460463,10151657,https://www.bilibili.com/bangumi/play/ss35201
少年歌行 风花雪月篇,出品,全33话,296788303,8.5分,3940891,4648751,https://www.bilibili.com/bangumi/play/ss28761
小绿和小蓝 第二季,出品,更新至第11话,10156243,8.9分,1474487,1631165,https://www.bilibili.com/bangumi/play/ss43339
少年歌行,出品,全26话,195718898,9.5分,2620270,4648751,https://www.bilibili.com/bangumi/play/ss24608
她不当女主很多年,出品,更新至第13话,8495762,8.3分,178667,178667,https://www.bilibili.com/bangumi/play/ss43367
百妖谱·京师篇,出品,全12话,116637667,9.8分,5980734,6968114,https://www.bilibili.com/bangumi/play/ss39661
凹凸世界 第三季,独家,全40话,420165333,9.4分,2521750,3776547,https://www.bilibili.com/bangumi/play/ss26311
拳皇命运,,全48话,31737267,6.9分,357447,362354,https://www.bilibili.com/bangumi/play/ss6355
百妖谱,出品,全12话,200131426,9.4分,4799255,6968114,https://www.bilibili.com/bangumi/play/ss26193
我家大师兄是个反派,出品,全13话,130771775,9.0分,3234937,4201337,https://www.bilibili.com/bangumi/play/ss26196
京剧猫 第四季,,全26话,74280822,9.9分,836587,1150026,https://www.bilibili.com/bangumi/play/ss34617
伍六七之最强发型师,会员专享,全10话,347070036,9.8分,6817310,12915368,https://www.bilibili.com/bangumi/play/ss28510
大理寺日志,独家,全12话,201795619,9.8分,4510446,4510446,https://www.bilibili.com/bangumi/play/ss32321
伍六七之玄武国篇,会员专享,全10话,468236534,9.8分,10306626,12915368,https://www.bilibili.com/bangumi/play/ss36594
凹凸世界 第二季,独家,全20话,96814622,9.0分,1134885,3776547,https://www.bilibili.com/bangumi/play/ss6352
凹凸世界 第四季,独家,全20话,184326861,8.6分,3467760,3776547,https://www.bilibili.com/bangumi/play/ss41393
炼气练了3000年,出品,全16话,71793126,7.4分,771461,771460,https://www.bilibili.com/bangumi/play/ss39716
龙蛇演义,出品,全16话,85115169,7.2分,960258,960257,https://www.bilibili.com/bangumi/play/ss39701
星源之主,出品,全48话,46260972,7.9分,393171,393171,https://www.bilibili.com/bangumi/play/ss39718
那年那兔那些事儿 第四季,,全12话,79706793,9.4分,1188181,4731018,https://www.bilibili.com/bangumi/play/ss6018
大耳朵图图 第一季,,全26话,34213723,9.8分,477357,720668,https://www.bilibili.com/bangumi/play/ss34806
茶啊二中 第四季,,全13话,61947829,9.8分,486997,836442,https://www.bilibili.com/bangumi/play/ss23802
天宝伏妖录,出品,全13话,144887883,9.6分,2709110,3560215,https://www.bilibili.com/bangumi/play/ss26232
百妖谱 第二季,出品,全12话,117836756,9.2分,5253344,6968114,https://www.bilibili.com/bangumi/play/ss35195
喜羊羊与灰太狼之奇趣外星客,,全60话,41245448,9.7分,429076,1653823,https://www.bilibili.com/bangumi/play/ss32543
怪兽小馆,出品,更新至第十一餐,4708521,9.5分,187755,187756,https://www.bilibili.com/bangumi/play/ss43359
汉化日记 第二季,出品,全12话,73543101,9.8分,2040109,3019340,https://www.bilibili.com/bangumi/play/ss34062
两不疑 第二季,出品,全24话,160320245,9.8分,4938087,5123124,https://www.bilibili.com/bangumi/play/ss39722
黑门,出品,全12话,44111932,9.7分,1201948,1201948,https://www.bilibili.com/bangumi/play/ss35215
如果历史是一群喵 1-3季,,全38话,181038563,9.7分,2418498,3311437,https://www.bilibili.com/bangumi/play/ss25469
咸鱼哥,出品,全18话,75097706,9.5分,1362355,1494669,https://www.bilibili.com/bangumi/play/ss35226
两不疑,出品,全24话,293505894,9.6分,4597117,5123124,https://www.bilibili.com/bangumi/play/ss28757
小绿和小蓝,会员专享,全72话,100510670,9.7分,1524855,1631165,https://www.bilibili.com/bangumi/play/ss24438
那年那兔那些事儿 番外篇,,全5话,40351904,9.6分,743224,4731018,https://www.bilibili.com/bangumi/play/ss5451
京剧猫 第二季,,全52话,47943549,9.8分,340454,1150026,https://www.bilibili.com/bangumi/play/ss6400
伍六七,会员专享,全13话,371171798,9.8分,6082688,12915368,https://www.bilibili.com/bangumi/play/ss6360
阿衰 第四季,会员专享,全34话,78978188,9.0分,755085,1198298,https://www.bilibili.com/bangumi/play/ss38029
那年那兔那些事儿 第五季,,全11话,97006885,9.6分,2796482,4731018,https://www.bilibili.com/bangumi/play/ss28541
如果历史是一群喵 宋辽金夏篇,会员抢先,更新至第3话,1225821,,3188924,3311437,https://www.bilibili.com/bangumi/play/ss45286
我家大师兄有点靠谱,出品,全13话,50138040,8.0分,3760086,4201337,https://www.bilibili.com/bangumi/play/ss39694
阿衰 第三季,会员专享,全34话,92861083,8.5分,713896,1198298,https://www.bilibili.com/bangumi/play/ss33962
阿衰 第七季,会员专享,全34话,34078031,7.2分,923626,1198298,https://www.bilibili.com/bangumi/play/ss40773
战千年,出品,全16话,39893112,8.5分,622426,622426,https://www.bilibili.com/bangumi/play/ss39712
希灵纪元,出品,全16话,20095425,6.0分,405487,405487,https://www.bilibili.com/bangumi/play/ss39663
峡谷重案组,,全26话,45951689,8.4分,326582,530067,https://www.bilibili.com/bangumi/play/ss23695
大耳朵图图 第三季,,全26话,23776247,9.8分,173404,720668,https://www.bilibili.com/bangumi/play/ss34809
阿衰 第六季,会员专享,全34话,44045296,9.2分,851286,1198298,https://www.bilibili.com/bangumi/play/ss39460
D5小队,,全13话,62542346,9.5分,293846,510178,https://www.bilibili.com/bangumi/play/ss35403
前方高能之辣稽,,全16话,30918689,8.1分,161622,412642,https://www.bilibili.com/bangumi/play/ss6270
凹凸世界 第一季,独家,全32话,172597196,8.8分,1490410,3776547,https://www.bilibili.com/bangumi/play/ss3043
十万个冷笑话 第二季,,全13话,48360555,9.4分,650065,2091929,https://www.bilibili.com/bangumi/play/ss661
大耳朵图图 第二季,,全26话,31831574,9.8分,159286,720668,https://www.bilibili.com/bangumi/play/ss34808
